T_c rho_c R T M L
5000000.0 38904.296875 0.41040631581821874 2086.2426774373594 0.3189865251334527 0.0028746233050295496
5172413.793103448 36622.61962890625 0.4492010880569196 2133.078986112167 0.3647728150232235 0.0037635953031634763
5344827.586206896 37427.91748046875 0.48067270338965856 2193.491637337718 0.4016384664084931 0.004818772480901828
5517241.379310345 38491.68658256531 0.5023259085850404 2257.6927477639574 0.42752982508797355 0.005906416629797501
5689655.172413793 39590.05832672119 0.5268161249197552 2312.2456267362895 0.4526467271961006 0.007147391238066135
5862068.9655172415 40701.43882930279 0.5660434506763848 2334.5408450350424 0.48038541993601186 0.008574306741972829
6034482.75862069 41827.46647298336 0.585115410211747 2397.163859741866 0.4993158882490462 0.010185152320405011
6206896.551724138 42952.38001644611 0.6138600392765994 2440.197234265606 0.5194772508017989 0.012037381296603632
6379310.344827587 44077.096953988075 0.6351877670050274 2498.011682051165 0.5371423125707318 0.014153885587946705
6551724.137931035 45200.47860965133 0.6490531078086009 2570.4197846894835 0.5532505763811162 0.016568006584594407
6724137.931034483 46321.976125240326 0.6763196467063619 2616.530890257405 0.5706416649457812 0.01931528150493389
6896551.724137931 47441.87621772289 0.7072893546192451 2656.03410172242 0.5875688010287823 0.022429644997214452
7068965.517241379 48560.162503272295 0.7227913098292504 2724.9067012361434 0.6029234991554765 0.025949318830628648
7241379.310344828 49676.75715871155 0.7387368738746556 2792.919667585886 0.6181714805032374 0.029916232611655626
7413793.1034482755 50791.69192770496 0.7583385699609265 2854.0033452033294 0.6334489791306808 0.03437460935326481
7586206.8965517245 51905.0059778383 0.7788038626535747 2913.458196820469 0.6485898777389728 0.039371768927768586
7758620.689655173 53016.73130877316 0.796741550666338 2977.6289028418555 0.6635217996618296 0.04495839390411789
7931034.482758621 54126.89812819008 0.8121593929386326 3046.4875834249196 0.678313077377266 0.05118866014725758
8103448.27586207 55235.53817975335 0.8323915194756336 3106.3106240411526 0.6931250726436412 0.05812037282600622
8275862.068965517 56342.681159148924 0.8501558084139057 3170.725830524008 0.7078283932123893 0.06581507565103772
8448275.862068966 57448.353690095246 0.871746727442543 3228.007706375724 0.7225144649512378 0.07433827384266418
8620689.655172415 58552.58214031346 0.8869974192254868 3297.038631444237 0.7371064367115484 0.08375956732613503
8793103.448275862 59655.388781568035 0.8641651311510581 3439.4306578552905 0.7514109663177754 0.09415280851194649
8965517.241379311 60756.795117631555 0.8705836768347153 3526.4161677056163 0.7659542630685506 0.10559633994969893
9137931.034482758 61856.818812317215 0.8534756292799109 3663.200088773088 0.7802513064809513 0.11817303315356913
9310344.827586208 62955.47189749777 0.9198683921023155 3627.296897976049 0.7952307007922771 0.13197065733106472
9482758.620689657 64052.76768503245 0.8781678955916383 3814.4114825582883 0.8094811832057954 0.14708176940419648
9655172.413793104 65148.70975888334 0.8964529000509445 3877.1402055707576 0.8241090176609782 0.1636042373793967
9827586.206896551 66243.29427909106 0.9036404688457284 3963.9877958228794 0.8386477011773558 0.1816411107308906
10000000.0 67336.51638170704 0.9110561533139371 4050.564403762707 0.8531854737606728 0.2013010444789799
