T_c rho_c R T M L
30000.0 550000.0 0.07096806519161632 39.2458521792331 0.05362264854708205 1.0764517171517244e-11
373793.1034482759 550000.0 0.10287629396081237 416.65381392835775 0.07222261910977587 2.8735955165714337e-07
717586.2068965518 550000.0 0.1056356603658082 808.3954390095722 0.07944417349385982 4.2934863937580874e-06
1061379.3103448276 540747.4870340666 0.10959276773292545 1193.8145525241234 0.08642710219366945 2.1978843372091777e-05
1405172.4137931035 550000.0 0.0842925243906319 1850.958039567562 0.08200841778746461 7.513771514179791e-05
1748965.5172413795 453398.10219057836 0.12211369118301711 1840.8872977395395 0.09813799672900253 0.00015428762432110815
2092758.6206896552 241621.1228966713 0.15093672046887066 1695.2515662810854 0.09869652426905304 0.00016951963387802158
2436551.724137931 163188.5986328125 0.1779164155165955 1689.9504395298834 0.10912316215557068 0.00023260630570120648
2780344.827586207 131245.1171875 0.19950463262499976 1779.538608416428 0.12371927934493898 0.00035960787869931146
3124137.931034483 104448.30515352078 0.22555512831919441 1839.2907825899492 0.14225344849854785 0.0005245665083284574
3467931.034482759 80779.78515625 0.258944859616755 1858.4794559667043 0.16643230992291425 0.0007206746013786374
3811724.137931035 68713.94872665405 0.28668654528398707 1932.4955792944393 0.19210244565844373 0.0010327191454880089
4155517.2413793104 53936.5234375 0.3287920807052255 1931.538622562951 0.2274287163462348 0.0013556571006463289
4499310.344827587 47494.140625 0.3590496700202561 2006.1111513763315 0.26078015347755307 0.0018811464251901077
4843103.448275862 40514.892578125 0.39751369735497544 2045.7968186179212 0.30186254152780395 0.002493720417860654
5186896.551724139 37063.01689147949 0.4373542305525922 2151.120726881546 0.3543496118401484 0.003689940581091202
5530689.655172414 38602.31018066406 0.49410438813294816 2281.716221996945 0.4237437601706431 0.005961801493943114
5874482.75862069 40783.849477767944 0.5624490271053146 2349.1251118115456 0.4802666604535161 0.00867929598510931
6218275.862068966 43026.72777418047 0.6139595712880337 2446.6013833472375 0.5204174666579121 0.012168190093587678
6562068.9655172415 45267.783369868994 0.6520847422656203 2570.4266422276132 0.5545015883252771 0.016723320097987413
6905862.068965518 47502.3192265071 0.7047328075049428 2666.1472343930745 0.5881563517107026 0.022608880860564295
7249655.172413793 49730.306672398 0.7436149004570686 2788.4418884783718 0.6191013482548907 0.03011869352269719
7593448.27586207 51951.72932371497 0.7795501332534533 2916.16717806407 0.6492185798256614 0.039594178823338724
7937241.379310345 54166.83472984005 0.8215353474663601 3032.553792020797 0.679007988257251 0.051425690382267485
8281034.482758621 56375.87248813361 0.8465267055431144 3180.447621291237 0.7082198462027077 0.06605837510824629
8624827.586206896 58579.06582823489 0.8795117625156663 3313.386748545839 0.7374044650340175 0.08399731379790507
8968620.689655174 60776.608284097165 0.8627362027034333 3544.2290851784805 0.7661384807507303 0.10581244644141499
9312413.793103449 62968.64782215562 0.878165395993818 3713.6443616060124 0.7951663864057703 0.13214400137683074
9656206.896551725 65155.280185397714 0.8744343524665033 3926.271721830926 0.8240233054344771 0.16370781024816197
10000000.0 67336.51638170704 0.9110561533139371 4050.564403762707 0.8531854737606728 0.2013010444789799
